frame,t_s,z_magnet_m,z_magnet_std_m,z_bore_m
74,0.074,0.022336996333397908,0.00950026189322597,0.020199317668384557
75,0.075,0.021842603553397188,0.009500261893226475,0.020199317668384557
76,0.076,0.021348619290296474,0.009500261893226981,0.020199317668384557
77,0.077,0.02085526006219575,0.009500261893227488,0.020199317668384557
78,0.078,0.020362741766595038,0.009500261893227991,0.020199317668384557
79,0.079,0.019871279585694325,0.009500261893228494,0.020199317668384557
80,0.08,0.019381087893693614,0.009500261893228995,0.020199317668384557
81,0.081,0.018892380163392897,0.009500261893229495,0.020199317668384557
82,0.082,0.01840536887409219,0.009500261893229993,0.020199317668384557
83,0.083,0.017920265419191485,0.00950026189323049,0.020199317668384557
84,0.084,0.017437280015790785,0.009500261893230985,0.020199317668384557
85,0.085,0.016956621613590083,0.009500261893231476,0.020199317668384557
86,0.08600000000000001,0.01647849780518939,0.009500261893231965,0.020199317668384557
87,0.08700000000000001,0.0160031147369887,0.009500261893232453,0.020199317668384557
88,0.088,0.015530677020988013,0.009500261893232935,0.020199317668384557
89,0.089,0.015061387647087332,0.009500261893233415,0.020199317668384557
90,0.09,0.014595447896786653,0.009500261893233893,0.020199317668384557
91,0.091,0.014133057256985982,0.009500261893234366,0.020199317668384557
92,0.092,0.013674413335285317,0.009500261893234834,0.020199317668384557
93,0.093,0.013219711776384658,0.009500261893235301,0.020199317668384557
94,0.094,0.012769146178884,0.00950026189323576,0.020199317668384557
